0	what is non controlling interest on balance sheet
1	how many episodes are in chicago fire season 4
2	who sings love will keep us alive by the eagles
3	who is the leader of the ontario pc party
4	nitty gritty dirt band fishin in the dark album
6	converting stereo signal to mono signal is called
7	in order to prove disparate impact you first must establish
8	where do characters live in this is us
9	who makes the decisions about what to produce in a market economy
10	when is the new tappan zee bridge going to be finished
11	who recorded i can't help falling in love with you
12	who plays the doc in back to the future
13	when did they stop cigarette advertising on television
16	what was the name of atom bomb dropped by usa on hiroshima
17	when did the us take over wake island
18	when did american two party system began to emerge
19	where are the mitochondria located in the sperm
20	how many lines of symmetry are there in a equilateral triangle
21	how many seasons of the oc are there
23	how dose the poet present death as a voyage in crossing the bar
25	what is pumped up kicks the song about
26	2. what are the reasons states impose protectionists policies on other countries
27	where are they building the new raiders stadium
28	what event provoked congress to propose the eleventh amendment and the states to ratify it
30	what is the meaning of the name comanche
31	who do you meet at the gates of heaven
32	what are bulls used for on a farm
34	difference between single layer perceptron and multilayer perceptron
39	royal society for the protection of birds number of members
40	when was theme from a summer place released
41	when does jenny humphrey come back to gossip girl
42	when did athens emerges as wealthiest greek city state
45	who invented the frisbee and how did it get its name
46	who plays v on orange is the new black
47	how long prime minister stay in office canada
49	when do willow and tara get back together
52	who sang in the movie i walk the line
53	where did aeneas go when he left carthage
56	when was the last time the military drafted
57	where was the capital of the habsburg empire located
58	who plays general hux in the last jedi
60	when were the winnie the pooh books written
61	where does the electron transport chain pumps protons
62	who wrote the theme song for mission impossible
64	where is the slide placed on the microscope
65	when was the seat moved to the capitol
67	what's on each level of the eiffel tower
68	who starred in the remake of true grit
69	how many students attend university of texas at austin
70	when does isle of dogs come out in us
71	a justice of the supreme court may write a dissenting opinion to
74	who named all the animals in the world
75	how long do nhl players stay on waivers
76	what year did the price is right first air
79	who sings jungle book i wanna be like you
80	which best describes timbuktu under the mali empire
81	who sings two pints of lager and a packet of crisps
82	when did the apple iphone se come out
83	where do they put the tomb vampires in order to burn them during founders day
85	when was the debating club established in almora
86	how many super bowl games has the patriots played in
87	when was the first underwater cable laid beneath the english channel
92	when is the haunted mansion nightmare before christmas
94	who sings it's my party and i cry if i want to
95	what are some elements that are similar to silver
97	when was you'll never walk alone first released
99	who controlled the house and the senate in 2012
102	where does the big sur begin and end
103	who did puerto rico belong to before the u.s
104	when does panic at the disco album come out
106	who holds the world record for the most world records
107	who sang on great gig in the sky
109	what is the origin of the name marilyn
112	when is the last time the dolphins went to the superbowl
114	what is the concept of unfair labor practice in labor code
116	who was the last nba player to get drafted out of high school
117	who was the war of 1812 fought between
119	where does transduction occur in the auditory system
121	how many kilometers of great wall of china
122	what is the name of the restaurant in seinfeld
123	what is the difference between ron and mon
124	when did the log flume closed at alton towers
126	where did little mix come in x factor
127	jharkhand which festival is associated with cattle worship
129	who was the declaration of independence written for
130	what is the center of heredity in a cell
131	when did the first immigrants come to hawaii
132	who coined the phrase let get ready to rumble
133	who played the first nfl thursday night football game
134	how many different kinds of pokemon cards are there
136	who sang the theme song for laverne and shirley
138	what is the name of season 6 of american horror story
139	who created the very first adhesive postage stamp and what year
140	do you cut cards to the left or right
141	who were the first settlers in san antonio
142	who were the members of the traveling wilburys group
143	who sang how can you mend a broken heart first
144	who was the original host of what's my line
145	who played big enos in smokey and the bandit
147	how did the federalists and anti federalists compromise
148	product-market fit means being in a good market with a product that can satisfy that market
149	where do kidneys for kidney transplant come from
150	the cross section of a stem of tree has 50 rings what is the age of the tree
151	what is on a mcchicken sandwich from mcdonalds
153	when did 10 shilling note go out of circulation
154	what year did the golden state warriors win their first nba championship
155	where did the phrase pop goes the weasel come from
158	ranjit sagar dam has builded over which river
160	where was the original planet of the apes filmed at
162	what is the average time in hospice care
164	who won the american league pennant in 2017
166	where are the cardiac and vasomotor centers found
167	what is the population of the tri-cities washington
168	how does one become a member of phi beta kappa
170	who wrote the music for christmas story live
171	who sang the song i think we're alone now
174	what is the meaning of https //
176	what do you need to know about net neutrality
177	who plays the little girl in jurassic park
179	where in the constitution is the executive branch referenced
180	when is the second half of vikings season 5 coming out
181	• when is a spearman correlation meant to be used instead of a pearson correlation
183	which gene segments code for the variable region of the heavy chain
184	sri lanka belongs to which part of asia
185	when does star wars battlefront 2 com out
187	who sings gimme some lovin in days of thunder
188	how many episodes of greys anatomy season 14
189	the road that connects the tombs is called
190	where can you find blue bell ice cream
191	who proposed evolution in 1859 as the basis of biological development
192	does the jungle book take place in india
194	what is the function of the semicolon in a c statement
197	where does summer of the monkeys take place
199	why was the statue of liberty given to the us as a gift from france
200	when does ellen's new game show start
202	what is the meaning of the book of proverbs
203	where did the name bubble and squeak come from
205	which body part(s) occupy the greatest portion of the primary motor cortex
206	active transport performs which function in a cell
207	who was fighting in the civil war in england and about what
208	who wrote the song what child is this
