18	1 EIN doing business under multiple business names
56	Can a entrepreneur hire a self-employed business owner?
90	Filing personal with 1099s versus business s-corp?
94	Using credit card points to pay for tax deductible business expenses
104	Investing/business with other people's money: How does it work?
109	How to account for money earned and spent prior to establishing business bank accounts?
515	financial institution wants share member break down for single member LLC
585	Following an investment guru a good idea?
594	Should a retail trader bother about reading SEC filings
659	Buying from an aggressive salesperson
672	Credit and Debit
699	Prepaid Rent (Accrual Based Accounting)
721	What are “upstream investments” and “downstream investments” in this context?
766	Will the ex-homeowner still owe money after a foreclosure?
859	Any reason to keep around my account with my old, 'big' bank?
864	Why use accounting software like Quickbooks instead of Excel spreadsheets?
879	Capital improvement and depreciation in restaurant LLC
895	California tells me I didn't file documents for an LLC that isn't mine. What do I do?
904	How do I set up Quickbooks for a small property rental company that holds its properties in separate LLC's?
928	How can I determine if a FHA loan refinance offer is from a reputable lender
939	How to correct a tax return filed electronically and already approved?
957	How can I withdraw money from my LLC?
1198	What are the consequences of IRS “reclassification” on both employer and employee?
1230	How does Walmart account their expired food
1284	Tax consequences when foreign currency changes in value
1310	Is is possible to take a mortgage using Bitcoin as collateral?
1393	Which is better when working as a contractor, 1099 or incorporating?
1415	I am not VAT registered. Do I need to buy from my supplier with excl VAT prices or incl VAT?
1441	What's the difference between Market Cap and NAV?
1451	How do you find an ethical, honest independent insurance broker in Canada?
1469	Why do some companies report how well their EBITDA performed even if their overall net profit did equally well?
1530	What is the proper way to report additional income for taxes (specifically, Android development)?
1676	W2 vs 1099 Employee status
1736	How can people have such high credit card debts?
1824	Is there a way to open a U.S. bank account for my LLC remotely?
1826	Is the contribution towards Employment Insurance (EI) wasted if I never get fired, or are my premiums refunded?
1877	As a Sole Proprietor, will “employer” Solo 401k contributions count towards gross income?
1933	UK sole trader who often buys products/services on behalf of clients – do I deduct from declared income or claim as allowable expenses?
1948	Which colors can one use to fill out a check in the US?
2010	Paypal website donations without being a charity
2076	Can vet / veterinary bills be considered deductions (tax-deductible) for Income Tax purposes [Canada]?
2183	Why are there many small banks and more banks in the U.S.?
2264	Personal Tax Return software for Linux?
2296	How does a bank make money on an interest free secured loan?
